"","PC1","PC2","group","testvar","name"
"1",-1.94739318327086,5.25152542362563,"H3","H3","1"
"2",-1.12654925248014,2.28898611787436,"H3","H3","2"
"3",-5.99674156835738,-3.35083022104025,"BC","BC","3"
"4",-10.864819819729,3.61815185188246,"BC","BC","4"
"5",8.00957145731541,2.39455909589575,"BC","BC","5"
"6",6.11136254643022,-0.775080453565225,"BC","BC","6"
"7",3.02951215316794,-2.13438437960619,"BC","BC","7"
"8",-5.89451122215788,-6.8853778816973,"BC","BC","8"
"9",-1.42899653453558,-9.44655423482699,"BC","BC","9"
"10",6.3579838262495,4.22546724365606,"H3","H3","10"
"11",4.2111987471594,-1.76969719287317,"H3","H3","11"
"12",5.44886284811121,-0.928740103062251,"H3","H3","12"
"13",-5.90947999790276,7.5119747337371,"H3","H3","13"
