"","PC1","PC2","group","testvar","name"
"1",-4.38747102332366,-1.93244949719121,"VE","VE","1"
"2",8.53368928652506,4.27139214884276,"VE","VE","2"
"3",-7.2753448502955,6.038435481101,"H3","H3","3"
"4",-5.78184579305953,1.05552762734174,"H3","H3","4"
"5",9.4708608271268,1.84846789461783,"VE","VE","5"
"6",6.4373888039256,-1.73828155357979,"VE","VE","6"
"7",3.36754681077184,-4.96570508174801,"VE","VE","7"
"8",-4.85163054426717,-7.6518269612004,"VE","VE","8"
"9",2.24568337868313,2.00758847981476,"H3","H3","9"
"10",1.85201489259132,1.9629027169257,"H3","H3","10"
"11",2.30613067786452,-2.84289129597293,"H3","H3","11"
"12",-11.9170224665424,1.94684004104852,"H3","H3","12"
