ID	groups	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12
BC1	1	-22.78667849	4.469810115	-16.55164332	2.683384195	-11.42835551	5.663061999	-20.257489	9.483004077	29.08007736	-5.88772724	5.163193509	1.25E-14
BC2	1	-1.970445244	0.878269157	-6.934483812	7.059262248	10.97192369	-13.29914475	8.354336133	7.157352134	9.454155504	27.6311754	-21.14090252	1.71E-14
BC3	1	-31.38575434	5.020285218	-14.44114784	5.265517343	2.487988345	-13.46164133	31.35632136	1.503017027	-5.523262674	-12.37194748	9.675914554	1.07E-14
BC4	1	-16.36554354	-16.41361611	-5.627394578	-17.55010695	-19.39800537	-9.416845939	-12.71047659	-11.76071767	-16.47699822	-6.891615558	-19.51121418	6.54E-15
BC5	1	-19.3587694	-22.22363258	45.4250477	-8.443226061	5.794218476	9.228485268	4.978176463	6.712263133	5.947386266	0.769343728	2.705311679	3.20E-14
H31	2	28.21478932	-7.114422588	5.693515177	-9.034293248	-8.016001073	-31.37804916	-4.362433274	-7.459250289	5.757196131	6.00038952	20.08609444	5.76E-16
H32	2	35.73252486	-3.103220849	-10.61007608	-20.43285641	-13.10348018	18.66830944	18.06817299	16.07932454	2.764492964	-5.356476627	-4.704372529	-2.91E-15
H33	2	18.46339221	-4.791470593	-3.821268575	2.883773869	33.86205449	0.21158727	-4.75373383	-14.92229476	8.276300014	-19.95251324	-8.667549803	1.66E-14
H34	2	14.28841955	0.065282499	11.0825161	43.42652275	-20.80809493	7.757943926	3.316904915	-9.499232353	-2.384237275	-2.615847013	-3.483582633	-4.92E-14
H35	2	-2.230992999	52.60050392	16.52850866	-13.1434623	-0.531676975	4.014768095	-3.239104234	-7.739776737	-4.309219545	1.897361855	-1.338954894	7.45E-15
H36	2	4.222325618	1.335922052	-2.785564178	10.98315612	12.39721506	-2.940089458	-18.43388762	28.60827546	-23.40512757	-1.749974761	5.947884692	1.77E-14
H37	2	-6.823267545	-10.72371025	-17.95800927	-3.697671564	7.772213972	24.95161464	-2.316787299	-18.16196456	-9.18076295	18.52783141	15.26817769	-4.64E-16
