ID	groups	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13
VE1	1	-21.45655739	36.69038124	7.850601541	30.15545321	-3.860286644	5.95925203	-4.67833224	8.283699062	-1.840685318	-0.799458444	0.952374417	0.864149702	-1.33E-14
VE2	1	-30.76074813	8.90473068	-27.28076242	-25.96272623	-17.12751524	-4.017759135	4.857893441	4.692427142	0.371309711	3.459644619	-1.09872096	1.705047004	-1.85E-14
VE3	1	0.75546964	16.04368119	28.61348562	-29.50560742	18.19981594	10.29154358	6.056869752	3.326073841	-7.872145063	1.208228363	-1.351868533	0.035905036	-4.91E-15
VE4	1	-6.580969925	0.186966843	-2.920125907	8.193138945	2.917264894	2.421484679	14.45394184	-36.53571853	-4.411762734	-0.082947278	-6.040808505	1.118377609	-7.88E-15
AT1	2	-30.92113171	-37.90335873	25.09974289	5.791277583	-7.614023324	-2.514983445	-0.073436257	4.482170429	3.851690613	0.307568332	1.079609972	1.168460696	4.44E-15
AT2	2	-6.532628206	-10.88873921	-16.61869217	0.609356014	23.84853607	3.97674766	-31.32362929	-2.674175967	-7.410297224	3.219083729	-1.614819226	1.994678793	2.96E-14
AT3	2	13.78918908	6.201811657	3.322896386	-2.019283297	2.046058226	-4.402577454	-5.113070948	-0.779161617	31.71617439	7.561696528	-11.90005863	4.01321583	-8.68E-15
VE5	1	11.06726411	-7.260471247	-10.55623378	4.548626673	8.021842072	0.799027977	12.42429052	10.65780452	-0.596719098	-23.58030651	-1.575296865	15.78323162	-1.07E-14
VE6	1	2.062351585	-2.170342937	-6.600222234	1.343670242	7.43576787	-5.23519029	4.203219396	3.717719947	5.292084801	-14.47321922	-0.201350223	-25.35507839	-7.93E-15
AT4	2	10.41537904	1.441525265	-1.859587245	-1.325413487	0.796389706	-0.778948491	0.770445046	-6.034571904	8.35278637	4.142479293	30.13876477	2.175722489	-2.07E-14
AT5	2	24.00513435	-7.193767603	0.000469842	-1.57656812	-26.65585016	29.90116013	-8.677174772	-0.188527836	-4.809052934	-1.325593854	-2.892917968	-2.970372489	2.88E-14
AT6	2	14.94250015	-9.826124142	-9.769764899	12.46693332	7.197491861	-3.055662744	18.51458226	13.95307395	-9.693119423	22.86709006	-3.230384744	-2.024643134	-3.60E-14
AT7	2	19.21474743	5.773706999	10.71819237	-2.718857426	-15.20549128	-33.34409449	-11.41559873	-2.900813047	-12.95026409	-2.504265612	-2.264523505	1.491305238	-2.25E-14
