,VE,VE,VE,VE,AT,AT,AT,VE,VE,AT,AT,AT,AT
PC1,-21.45655739,-30.76074813,0.75546964,-6.580969925,-30.92113171,-6.532628206,13.78918908,11.06726411,2.062351585,10.41537904,24.00513435,14.94250015,19.21474743
PC2,36.69038124,8.90473068,16.04368119,0.186966843,-37.90335873,-10.88873921,6.201811657,-7.260471247,-2.170342937,1.441525265,-7.193767603,-9.826124142,5.773706999
PC3,7.850601541,-27.28076242,28.61348562,-2.920125907,25.09974289,-16.61869217,3.322896386,-10.55623378,-6.600222234,-1.859587245,0.000469842,-9.769764899,10.71819237
PC4,30.15545321,-25.96272623,-29.50560742,8.193138945,5.791277583,0.609356014,-2.019283297,4.548626673,1.343670242,-1.325413487,-1.57656812,12.46693332,-2.718857426
PC5,-3.860286644,-17.12751524,18.19981594,2.917264894,-7.614023324,23.84853607,2.046058226,8.021842072,7.43576787,0.796389706,-26.65585016,7.197491861,-15.20549128
PC6,5.95925203,-4.017759135,10.29154358,2.421484679,-2.514983445,3.97674766,-4.402577454,0.799027977,-5.23519029,-0.778948491,29.90116013,-3.055662744,-33.34409449
PC7,-4.67833224,4.857893441,6.056869752,14.45394184,-0.073436257,-31.32362929,-5.113070948,12.42429052,4.203219396,0.770445046,-8.677174772,18.51458226,-11.41559873
PC8,8.283699062,4.692427142,3.326073841,-36.53571853,4.482170429,-2.674175967,-0.779161617,10.65780452,3.717719947,-6.034571904,-0.188527836,13.95307395,-2.900813047
PC9,-1.840685318,0.371309711,-7.872145063,-4.411762734,3.851690613,-7.410297224,31.71617439,-0.596719098,5.292084801,8.35278637,-4.809052934,-9.693119423,-12.95026409
PC10,-0.799458444,3.459644619,1.208228363,-0.082947278,0.307568332,3.219083729,7.561696528,-23.58030651,-14.47321922,4.142479293,-1.325593854,22.86709006,-2.504265612
PC11,0.952374417,-1.09872096,-1.351868533,-6.040808505,1.079609972,-1.614819226,-11.90005863,-1.575296865,-0.201350223,30.13876477,-2.892917968,-3.230384744,-2.264523505
PC12,0.864149702,1.705047004,0.035905036,1.118377609,1.168460696,1.994678793,4.01321583,15.78323162,-25.35507839,2.175722489,-2.970372489,-2.024643134,1.491305238
PC13,-1.33E-14,-1.85E-14,-4.91E-15,-7.88E-15,4.44E-15,2.96E-14,-8.68E-15,-1.07E-14,-7.93E-15,-2.07E-14,2.88E-14,-3.60E-14,-2.25E-14
