id	groups	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13
VE1	1	-34.06585594	8.820070796	-2.982399254	-10.25734868	-26.3405073	-16.43252145	21.48362502	4.014722667	-0.845955767	-3.131348095	0.664099693	1.924977219	2.91E-14
VE2	1	-30.99569726	-5.378682862	8.135857337	32.47310738	20.46575149	11.53003822	6.909557558	-4.037553945	-7.578656231	-3.112361102	2.644635553	1.944753807	1.46E-14
VE3	1	-10.42397897	0.215997162	-17.47311645	-28.74101821	7.866556078	32.42165025	2.535984678	-10.14956222	0.634690296	2.415476411	-1.933895003	-0.459333283	8.58E-15
VE4	1	-5.725616686	3.459853244	-2.496058177	9.57341652	-12.13239501	3.750860739	-18.2085489	11.19081509	3.128175997	32.0981943	-4.933221661	3.017611872	-5.89E-15
VE5	1	16.18166362	-8.958061285	-4.736156162	3.244498825	-3.761918467	-0.296934081	2.538978744	-4.315581165	14.97211063	-1.141123564	23.68089624	15.78760074	2.30E-14
VE6	1	5.779387628	-10.76400704	-7.540284022	4.956146341	-2.164252444	-4.475764512	1.99103544	-1.050102202	6.024570493	3.186272711	13.10713956	-25.16325759	2.21E-14
H31	2	-16.53395095	2.218388563	8.256441355	-8.006277626	9.774160357	-12.93053539	-27.02475064	-3.244234163	22.62206329	-13.70003701	-6.614346206	-0.59449537	1.42E-14
H32	2	5.296330123	-18.78067521	-7.675568654	-15.13624451	26.30412036	-19.05651554	4.208356423	20.05295245	-13.39192719	3.569743034	-1.582253199	3.464191994	-1.40E-14
H33	2	6.502089823	-7.10583615	-4.828100894	1.113785323	-14.73167721	-7.123385335	-20.30696474	-19.72947101	-28.12019084	-6.98381526	0.37156274	1.703940377	6.49E-15
H34	2	13.00643671	0.076048377	44.63514319	-13.14279578	0.975429081	1.930992385	10.1116522	-8.735174354	-2.120895317	8.389305157	-1.259271145	-1.442886133	3.70E-15
H35	2	17.42633148	47.69399174	-10.11903781	6.048515084	13.79237833	-8.192333093	5.575248242	-4.835653844	-2.173262166	0.716903656	-0.898471682	-0.594369878	-1.21E-15
H36	2	12.9932307	6.663687542	7.397541051	3.994795165	-13.23845809	19.72493165	-5.345489518	28.59036019	-4.777655667	-18.88304868	-0.506060249	-1.284119064	-1.51E-14
H37	2	20.55962971	-18.16077487	-10.57426151	13.87942016	-6.809187166	-0.850483838	15.5313155	-7.751517496	11.62693247	-3.424161553	-22.74081464	1.695385308	1.08E-14
