ID	groups	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13
H31	1	-4.336430008	6.442403608	-7.261345805	-4.888067952	10.14840524	-1.409392668	10.49156061	-2.014485185	0.965145645	0.34271773	-0.246017854	-1.76548847	2.01E-14
H32	1	-2.527350806	3.222081326	-8.202931127	-5.897869739	3.481678416	8.609553043	-10.76819088	-0.354278156	1.316185481	-0.153857319	3.05399199	-0.450760218	1.32E-14
BC1	2	-7.391933649	-5.052993909	-7.481392489	7.14680722	0.917556673	-8.216741216	-3.52954578	7.004905738	3.030868671	5.999463477	-0.459084677	-1.075027425	1.89E-14
BC2	2	-16.69835935	6.333233934	13.17010074	6.15404891	3.972646548	3.507069662	-0.936134263	3.045241201	-0.119030757	-3.252107572	-1.359557885	-0.708622263	1.72E-14
BC3	2	12.33609404	4.913861814	5.746144984	0.717163322	2.089531732	-8.829380069	-3.81346396	-4.29719245	5.184222211	-4.303079674	5.374578334	-1.73568418	1.97E-14
BC4	2	9.992841682	-1.570724955	-0.902774678	6.637603373	-4.134614483	6.631998308	4.917011188	3.267408586	-3.081393116	0.830551076	5.677609082	-6.884786149	2.16E-14
BC5	2	4.562133557	-3.975441427	-2.287001545	5.239451904	4.586790707	-1.564249301	-1.015825905	-2.092989785	-11.26287965	-2.030534292	1.307462653	7.068316491	1.81E-14
BC6	2	-8.134827246	-11.24455848	-2.670865051	4.776985836	-4.447667853	2.992403034	2.324895571	-10.12281158	6.046720487	-1.793642201	-0.642700416	1.587424449	1.95E-14
BC7	2	-3.021715369	-14.26223944	8.842333927	-11.82255649	0.088531994	-1.233840829	1.453961107	3.120951823	-1.141831708	2.376649787	3.465753763	0.437876364	1.88E-14
H33	1	9.228694104	8.157613798	3.344382904	0.330676264	-3.012663408	3.732535198	2.813528167	2.357376132	5.359962673	6.42687981	-0.430209264	8.222357276	1.97E-14
H34	1	7.330329218	-3.030326704	-3.937843699	-2.589863059	-2.854808464	0.190318705	0.968905358	7.183468545	2.192274867	-9.743975583	-6.781623963	0.712436098	1.88E-14
H35	1	8.711535549	-0.466734768	4.288120011	-1.005278921	1.303146435	0.19727209	-3.191212567	-5.103771481	-3.143638902	5.498852613	-9.571132915	-4.894575952	1.82E-14
H36	1	-10.05101172	10.5338252	-2.646928175	-4.799100665	-12.13853354	-4.607545958	0.284511352	-1.993823391	-5.346605898	-0.197917854	0.610931152	-0.513466021	1.72E-14
