ID	groups	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13
VE1	1	-7.489679611	-7.204055329	4.036335286	6.777931916	12.79988319	4.283285399	-0.666383462	-3.827940591	3.614088005	-2.09025745	1.514518535	-0.055660003	2.00E-14
VE2	1	14.09235776	-0.785520052	4.646806976	-5.814708475	0.10421969	6.688078644	9.195171264	5.878331535	-1.549433872	-4.859564324	1.982203047	0.439160937	1.98E-14
AT1	2	-8.420012652	-16.08240939	2.811782376	-5.803095543	-4.231226602	-2.180651949	-7.207467504	3.55259797	-2.384469819	-1.273099263	-1.372323548	-1.252910079	1.80E-14
AT2	2	-17.43886406	4.192628702	1.801672281	-11.76789364	4.095643872	-4.04878061	6.080028198	-4.084676935	-0.553730819	4.073789088	-1.757035128	-1.200875152	1.92E-14
AT3	2	-2.408514811	8.471612161	-0.234484397	-3.83293343	-3.421791064	-2.888823235	-5.050363886	-2.183258609	7.207898635	-8.154655659	-0.209687268	2.422947289	1.97E-14
AT4	2	-16.43163499	4.190407762	9.079368849	8.502932296	-10.02844413	4.487911681	1.993904752	-1.691624034	-1.49936234	1.554471974	0.681490746	-0.448742401	1.87E-14
VE3	1	16.41892076	1.091317196	-0.52879501	-0.814610585	0.087693568	1.424372543	-3.573024129	-9.161663985	-8.704890742	-0.67428287	-0.994577224	2.924784534	1.82E-14
VE4	1	9.188888771	-2.731351042	-2.608642447	-0.525054774	-2.899152468	-4.245333126	0.088196986	-1.602842922	3.087785714	4.477933492	10.56105433	-0.348833103	2.06E-14
VE5	1	4.065638364	-3.739735357	-3.459320577	8.614619252	-0.78179913	-11.71042323	7.561354045	0.654619824	-0.98076945	-2.684643619	-3.426405839	-0.181828382	2.05E-14
VE6	1	-9.370972068	-1.972539739	-16.84047303	0.575082468	-2.596208483	8.087181523	1.799679252	-0.040342693	0.716460939	0.435477646	-1.317087135	0.101480419	2.11E-14
AT7	2	-7.474020161	10.42509228	-2.315230536	2.617184479	5.944766044	-2.334910157	-5.470872819	7.90331978	-6.231547288	-0.368339867	2.755985214	-1.186358612	2.00E-14
AT8	2	17.31445553	3.517474723	1.212111423	0.592019348	-0.18349125	1.904097387	-2.965769266	-0.14034853	3.491775742	2.687566019	-4.237603905	-8.757509164	2.00E-14
AT9	2	7.953437168	0.627078091	2.398868809	0.878526692	1.109906763	0.53399513	-1.784453431	4.743829192	3.786195295	6.875604834	-4.180531819	7.544343718	2.02E-14
