ID	groups	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12
VE1	1	-6.64631107	-5.603638598	-12.71660341	8.987149388	-4.081640557	3.507348082	-5.670069053	1.298055639	-1.698501272	-0.225970644	0.565844083	1.97E-14
VE2	1	13.58050737	6.349545395	2.531393852	9.885607974	-3.800212901	-3.979193333	5.742978185	-2.779554365	-6.332282151	-2.633568787	-1.505698813	1.93E-14
H31	2	-12.21467397	8.056290539	-1.07723128	2.304983747	9.189756669	-10.3539099	-3.804519304	2.259871384	0.763857034	1.452367403	0.447566679	1.88E-14
H32	2	-10.11412256	3.979896377	-2.516114184	0.13716911	6.121680148	8.002895219	6.595066432	-8.867521163	3.36754966	-1.389977812	0.006019423	1.91E-14
VE3	1	15.88321133	2.705087488	2.71976827	2.282426117	-1.223005738	1.99929717	-5.971840985	-1.795406886	8.862478132	5.368161894	-3.95584737	2.09E-14
VE4	1	10.05363137	-2.581601121	-0.051147062	-3.255241302	0.421977985	-0.971992291	0.086554173	-2.490166278	-1.441745452	4.576298424	10.98147699	2.17E-14
VE5	1	6.328576071	-8.779569536	-5.460609287	-4.996422161	-0.903866163	-7.559900069	5.442679938	0.982040865	6.267861578	-5.678317858	-1.361866247	1.90E-14
VE6	1	-8.559875708	-13.42807663	12.20410774	5.656261305	3.120433755	0.994609952	0.191994519	1.223563669	-0.702510827	0.345434203	-0.657599158	1.96E-14
H33	2	2.941052937	2.956327379	3.879936422	-6.24593848	0.040519262	2.948994662	-9.102807812	-1.499355397	-2.717372254	-9.584081682	0.617328486	2.07E-14
H34	2	2.925796357	5.402868445	0.343005048	-0.991856605	1.39515214	6.900453673	4.754072778	12.99546289	0.808712771	-0.404355759	1.007238074	1.85E-14
H35	2	3.32927455	-3.321239058	-3.410668324	-9.030589046	2.979034188	0.541045397	0.431379161	-0.707513528	-8.345693294	5.665048986	-6.103751089	1.91E-14
H36	2	-17.50706668	4.264109317	3.554162217	-4.733550047	-13.25982879	-2.029648565	1.304511968	-0.619476835	1.167646074	2.508961632	-0.040711054	1.65E-14
